实体编码,待爬数据,需爬取总量,现有数据,昨日爬取数据
0797GZYH,0,269,0,0
110000BJRCB,0,17,0,0
110000HXYH,0,716,0,0
110000KLYH,0,48,0,0
130000HBNX,0,212,0,0
140000JSYH,0,249,0,0
277100ZZYH,0,268,0,0
310000SRCB,0,408,0,0
320582ZRC,0,0,0,0
330200NBYH,0,464,0,0
340000AHRCU,0,943,0,0
340000HSYH,0,0,0,0
350000FJHX,0,150,0,0
350000FJNX,2,62,0,0
360000JXNX,0,69,0,0
360000SRYH,0,197,0,0
370000SDNXS,0,124,0,0
370600YTYH,0,178,0,0
410300LYYH,52,232,0,0
420000HBXH,2,62,0,0
430100CSYH,0,172,0,0
430100HRXJ,2,1137,0,0
440000GDNX,0,42,0,0
450000GXBBG,0,359,0,0
450200LZYH,0,269,0,0
454150JZCTB,1,237,0,0
457ZGCG,0,15639,0,0
500000CQGGZY,36018,153669,4124,0
500000CQIIC,0,76,0,0
500000CQSX,0,227,0,0
510000CGJZB,28,6697,0,0
510000SCNX,0,0,0,0
510000SCRCU,0,89,0,0
510400PZHCCB,0,169,0,0
510700MYCC,0,18,0,0
520000GZNX,0,141,0,0
520000GZZBW,85417,106118,2085,0
530000FDYH,0,2622,0,0
530000YNHT,0,0,0,0
610100XAYH,0,160,0,0
625000YACCB,0,137,0,0
635000DZCCB,0,65,0,0
650100WLMQYH,0,174,0,0
650500HMSSY,0,16,0,0
86GXEZT,0,10463,0,0
86JCW,0,22654,0,0
86ZFCG,0,0,0,0
86ZGGD,0,2377,0,0
86ZGNY,0,105,0,0
86ZGRM,0,0,0,0
86ZGYH,0,1019,0,0
86ZGYL,0,3654,0,0
86ZGZBTB,0,0,0,0
86ZGZFZBCG,2,1219,0,0
HNNX460000,0,1340,0,0
ZTB365,0,507,0,0
